number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
29,0.6504761904761904,2025-12-09 09:32:02.914791,2025-12-09 09:32:03.430697,0 days 00:00:00.515906,0.8134490120951436,2.135197951107333,0.0021957566938215524,6,3,325,0.6917608051116173,COMPLETE
30,0.621904761904762,2025-12-09 09:32:03.434745,2025-12-09 09:32:03.938462,0 days 00:00:00.503717,0.7468632604237049,2.565523370037405,0.002045377649700394,5,2,311,0.5877043610431791,COMPLETE
31,0.6495238095238095,2025-12-09 09:32:03.944930,2025-12-09 09:32:04.345460,0 days 00:00:00.400530,0.6601276186633365,1.4201886511061248,0.00241508970126524,9,4,335,0.8056099658399917,COMPLETE
32,0.6371428571428572,2025-12-09 09:32:04.349671,2025-12-09 09:32:04.771813,0 days 00:00:00.422142,0.6720866276119127,1.459893359624946,0.0028999854067329072,10,4,327,0.7421385388096483,COMPLETE
33,0.6095238095238096,2025-12-09 09:32:04.775971,2025-12-09 09:32:05.156196,0 days 00:00:00.380225,0.6263177454883184,1.5653053272049913,0.00148079067836244,9,4,341,0.8894197003191872,COMPLETE
34,0.5961904761904762,2025-12-09 09:32:05.160818,2025-12-09 09:32:05.494588,0 days 00:00:00.333770,0.7627804253457615,2.8399523650475986,0.027389279419034233,8,1,298,0.8138075753018325,COMPLETE
35,0.5552380952380952,2025-12-09 09:32:05.499364,2025-12-09 09:32:05.845834,0 days 00:00:00.346470,0.7273221551967823,0.3972109567965841,0.011784729651713084,7,3,251,0.924308000950194,COMPLETE
36,0.6495238095238095,2025-12-09 09:32:05.849846,2025-12-09 09:32:06.039273,0 days 00:00:00.189427,0.797326505984124,2.0511128736509665,0.00630268831518371,9,5,168,0.7351569575092505,COMPLETE
37,0.6361904761904762,2025-12-09 09:32:06.044995,2025-12-09 09:32:06.454679,0 days 00:00:00.409684,0.5039153053660088,1.1597464472027026,0.0016469965775001282,4,6,324,0.942504574898452,COMPLETE
38,0.5,2025-12-09 09:32:06.460432,2025-12-09 09:32:06.636226,0 days 00:00:00.175794,0.7086283790977806,2.386799056778131,0.14902877318068394,6,8,208,0.6897408612608095,COMPLETE
39,0.6095238095238095,2025-12-09 09:32:06.640742,2025-12-09 09:32:06.904916,0 days 00:00:00.264174,0.7789918586566961,0.7512963318507244,0.059382687699095084,7,4,259,0.8680928722093677,COMPLETE
40,0.5152380952380952,2025-12-09 09:32:06.910670,2025-12-09 09:32:07.596697,0 days 00:00:00.686027,0.8811665319782201,1.7139580166486423,0.0038984239311915247,5,1,350,0.9996797370405366,COMPLETE
41,0.6238095238095238,2025-12-09 09:32:07.600707,2025-12-09 09:32:08.070799,0 days 00:00:00.470092,0.8123863429163076,2.2139866294095523,0.0010204728589355866,6,3,322,0.6913112588650854,COMPLETE
42,0.5971428571428571,2025-12-09 09:32:08.076880,2025-12-09 09:32:08.619456,0 days 00:00:00.542576,0.8279327313853548,3.1089987778590853,0.0017055700711399167,6,2,295,0.7594802193428082,COMPLETE
43,0.6371428571428571,2025-12-09 09:32:08.621461,2025-12-09 09:32:08.977970,0 days 00:00:00.356509,0.801091785997399,1.9029550399660358,0.0027958357623579532,5,3,311,0.6886500224839688,COMPLETE
44,0.6238095238095238,2025-12-09 09:32:08.981981,2025-12-09 09:32:09.300121,0 days 00:00:00.318140,0.8561197957567459,2.5445353378316176,0.0019885938913141435,4,4,267,0.831154103759183,COMPLETE
45,0.6495238095238095,2025-12-09 09:32:09.305520,2025-12-09 09:32:09.536620,0 days 00:00:00.231100,0.9192722251570211,1.3015968409742231,0.0013505613978911763,6,5,142,0.7991468028518797,COMPLETE
