number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
131,0.6771428571428572,2025-12-09 09:32:42.994664,2025-12-09 09:32:43.370104,0 days 00:00:00.375440,0.9709775985564829,2.8165058700896375,0.0183798966596919,2,3,299,0.6787859131390546,COMPLETE
132,0.6638095238095237,2025-12-09 09:32:43.376120,2025-12-09 09:32:43.772845,0 days 00:00:00.396725,0.9773358042485957,2.555037920623252,0.01859592998241297,2,3,325,0.7108111502863013,COMPLETE
133,0.6095238095238096,2025-12-09 09:32:43.779509,2025-12-09 09:32:44.147495,0 days 00:00:00.367986,0.9574277653180417,2.978996068286711,0.021238107188839214,2,4,318,0.6565348764840949,COMPLETE
134,0.6371428571428571,2025-12-09 09:32:44.151504,2025-12-09 09:32:44.631443,0 days 00:00:00.479939,0.999577975278313,1.5502321453618186,0.029469637835010228,2,2,293,0.6673414845685484,COMPLETE
135,0.621904761904762,2025-12-09 09:32:44.635494,2025-12-09 09:32:45.031556,0 days 00:00:00.396062,0.9403882695979637,3.1992358279768847,0.014313392806798976,2,3,218,0.7227519439457901,COMPLETE
136,0.6628571428571429,2025-12-09 09:32:45.035595,2025-12-09 09:32:45.561566,0 days 00:00:00.525971,0.7311645291168676,2.035671576591053,0.011591979289904493,5,3,308,0.7000316886519422,COMPLETE
137,0.5561904761904761,2025-12-09 09:32:45.566634,2025-12-09 09:32:46.072713,0 days 00:00:00.506079,0.990073720873999,2.3404708521844975,0.013028035765235816,2,2,300,0.9298349829588485,COMPLETE
138,0.6495238095238095,2025-12-09 09:32:46.078654,2025-12-09 09:32:46.485541,0 days 00:00:00.406887,0.9294238300000678,2.701287722971269,0.02380148360237312,2,4,285,0.7399221856822753,COMPLETE
139,0.6095238095238095,2025-12-09 09:32:46.489553,2025-12-09 09:32:46.835414,0 days 00:00:00.345861,0.964947972655666,0.9709565760288182,0.016561641549946902,3,2,193,0.6798692304354319,COMPLETE
140,0.4876190476190477,2025-12-09 09:32:46.839423,2025-12-09 09:32:47.227102,0 days 00:00:00.387679,0.976326477048428,1.946147154810853,0.01888737576994194,2,6,315,0.6930425328556421,COMPLETE
141,0.47333333333333333,2025-12-09 09:32:47.231446,2025-12-09 09:32:47.538947,0 days 00:00:00.307501,0.9916300032904487,1.121677228845289,0.012280053345570302,2,7,326,0.7260338128319446,COMPLETE
142,0.6771428571428572,2025-12-09 09:32:47.544286,2025-12-09 09:32:48.024247,0 days 00:00:00.479961,0.982197506582128,0.897383064634228,0.010749013826604824,2,2,322,0.7331343422649025,COMPLETE
143,0.6628571428571429,2025-12-09 09:32:48.029274,2025-12-09 09:32:48.476051,0 days 00:00:00.446777,0.9504395919272517,1.3764789753958082,0.015249026235650866,2,2,319,0.705702103520248,COMPLETE
144,0.6247619047619047,2025-12-09 09:32:48.480063,2025-12-09 09:32:48.941001,0 days 00:00:00.460938,0.9975311993149484,1.0942697963634138,0.008681656192959545,2,2,307,0.7486896123200476,COMPLETE
145,0.6761904761904762,2025-12-09 09:32:48.945965,2025-12-09 09:32:49.494467,0 days 00:00:00.548502,0.9666857022206704,1.261409934622119,0.014076261810318727,3,3,349,0.7157273120580968,COMPLETE
146,0.6095238095238096,2025-12-09 09:32:49.499544,2025-12-09 09:32:50.139296,0 days 00:00:00.639752,0.8888954986664155,1.5922757069671036,0.02075883472589562,2,1,340,0.7647209347227416,COMPLETE
147,0.6371428571428572,2025-12-09 09:32:50.145952,2025-12-09 09:32:50.656320,0 days 00:00:00.510368,0.9856787294998253,2.8677105151781066,0.017263769295684114,2,2,331,0.5255237534323325,COMPLETE
148,0.6638095238095237,2025-12-09 09:32:50.661900,2025-12-09 09:32:51.208215,0 days 00:00:00.546315,0.8770909431117562,0.7590198158599972,0.012798928566520235,7,2,311,0.6747371731535017,COMPLETE
149,0.6771428571428572,2025-12-09 09:32:51.213123,2025-12-09 09:32:51.651798,0 days 00:00:00.438675,0.7550023318771509,2.4553936612585936,0.010014580543194828,5,3,320,0.689024733055379,COMPLETE
