,Timestamps,Sunspots,AR,Flare Class,Rise Time,Starting Flux,Peak Flux,Duration,Fluence,SW Temp,SW Velocity,SW Density,IMF B,IMF Bx,IMF By,IMF Bz,Fe/O Lo,Fe/O Hi,H Lo,H Hi,O Lo,O Hi,Fe Lo,Fe Hi,Fe/0 1MeV,peak_time,end_time,xrsclass,goes_location,noaa_active_region,Flrmaxtime,Flrendtime,goes_major_class,SEP_Server_Association,FlrLon,FlrLat,event_type,other_flare,sep_peak_1,sep_fluence_1,sep_peak_2,sep_fluence_2,sep_peak_3,sep_fluence_3,sep_peak_4,sep_fluence_4,sep_peak_5,sep_fluence_5,sep_start,sep_end,sep_rise,sep_duration,match_diff_minutes
10,2000-11-24 04:55:00,28,21,X2.0,0.1166666666666666,1.46e-06,0.000201,0.2166666666666666,0.0012852,65499.21411401099,320.395123988022,12.96845932845231,5.268704414367676,1.3950488567352295,-0.5827157497406006,-1.880288004875183,0.37535813,,3.549057006835937,1.5333666801452637,0.0010677240788936,1.1367827028152531e-05,0.0012418649857863,,1.1630954198140362,2000-11-24T05:02:00.000,2000-11-24T05:08:00.000,X2.0,"(0, 0)",0.0,2000-11-24 05:02:00,2000-11-24 05:08:00,X,ProtonFlare,0.0,0.0,1.0,,2260.0,320823.7,942.0,128216.28,94.4000015258789,12201.128,7.730000019073486,1283.2959,1.440000057220459,277.576,2000-11-24 09:15:00,2000-11-29 11:05:00,4.333333333333333,121.83333333333331,0.0
11,2000-11-24 14:50:00,22,12,X2.3,0.2666666666666666,1.97e-06,0.00019,0.4833333333333333,0.00260613,243614.77099609372,491.47601194767935,7.651273137331008,9.365020751953123,4.279844284057617,-4.763054370880127,-3.646686792373657,0.44905573,7.0777883e-06,157.3494415283203,32.86285400390625,0.0579988621175289,0.0003648600250016,0.0472929999232292,3.507328437990509e-05,0.8154125477047234,2000-11-24T21:59:00.000,2000-11-24T22:12:00.000,X1.8,"(0, 0)",0.0,2000-11-24 21:59:00,2000-11-24 22:12:00,X,,0.0,0.0,0.0,,180.0,8731.0,65.5,3128.2,7.829999923706055,343.21002,1.7200000286102295,62.191,0.5680000185966492,18.2752,2000-11-24 21:43:00,2000-11-25 03:43:00,-9999.0,-9999.0,413.0
12,2000-11-25 00:55:00,0,20,M8.2,0.5333333333333333,4e-06,8.28e-05,1.0333333333333334,0.0034504198,204113.81979980468,479.7740191403208,5.840123745054006,7.02752685546875,3.5808873176574707,-2.053192377090454,-3.6452715396881104,0.5017113,8.574795e-06,165.08285522460938,41.6870002746582,0.0622064247727394,0.000411362882005,0.0538988523185253,3.616485628299415e-05,0.8664515364037654,2000-11-25T01:31:00.000,2000-11-25T02:01:00.000,M8.2,"(0, 0)",0.0,2000-11-25 01:31:00,2000-11-25 02:01:00,M,ProtonFlare,0.0,0.0,0.0,,124.0,5799.7,42.400001525878906,1962.2001,5.010000228881836,211.56999,0.8889999985694885,37.015003,0.2910000085830688,11.173201,2000-11-25 00:59:00,2000-11-25 06:59:00,-9999.0,-9999.0,4.0
13,2001-01-28 15:40:00,23,14,M1.5,0.3333333333333333,2.46e-06,1.59e-05,0.7333333333333333,0.00049184,,309.1648495696312,,5.031880855560303,2.156071186065674,-0.951067328453064,-1.5193220376968384,0.40719095,,46.6475715637207,3.8916501998901367,0.006840615067631,7.174374786700355e-06,0.0012465325416997,,0.1822252135773805,2001-01-28T16:00:00.000,2001-01-28T16:24:00.000,M1.5,"(0, 0)",0.0,2001-01-28 16:00:00,2001-01-28 16:24:00,M,ProtonFlare,0.0,0.0,1.0,,204.0,34591.867,48.900001525878906,8240.051,6.03000020980835,822.41504,1.0800000429153442,115.7658,0.3000000119209289,29.660599,2001-01-28 20:05:00,2001-01-30 04:55:00,4.416666666666667,32.833333333333336,0.0
14,2001-04-09 15:20:00,33,30,M7.9,0.2333333333333333,6.38e-07,8e-05,0.6666666666666666,0.002077485,148590.82344487027,605.0857101103485,2.854552027221038,8.366707801818848,7.361219882965088,-1.5916143655776978,-0.2809437811374664,0.19706602,,541.9114379882812,22.442365646362305,0.177878588438034,2.5904184440150857e-05,0.0082082338631153,1.7690999811748045e-06,0.046145148413828,2001-04-09T15:34:00.000,2001-04-09T16:00:00.000,M7.9,"(4, -21)",9415.0,2001-04-09 15:34:00,2001-04-09 16:00:00,M,ProtonFlare,-21.0,4.0,0.0,,8.470000267028809,342.53,5.130000114440918,174.658,2.130000114440918,78.6646,0.944000005722046,38.555504,0.4880000054836273,20.5081,2001-04-09 15:20:00,2001-04-09 21:20:00,-9999.0,-9999.0,0.0
15,2001-04-15 13:15:00,38,19,X14.4,0.5166666666666667,9.25e-07,0.00145,0.6,0.009558541,122976.9185678681,515.8143720247695,1.3231688050684214,3.3057544231414795,2.321211814880371,0.4060451686382293,-1.8803974390029907,2.2830808,,32.93574905395508,,0.0289040002971887,2.6631711079971865e-05,0.0414794310927391,1.9787000837823143e-06,1.4350757911102516,2001-04-15T13:50:00.000,2001-04-15T13:55:00.000,X14.,"(85, -20)",9415.0,2001-04-15 13:50:00,2001-04-15 13:55:00,X,ProtonFlare,-20.0,85.0,1.0,,1230.0,336564.97,951.0,185718.03,357.0,50206.28,242.0,20156.94,146.0,10093.149,2001-04-15 14:05:00,2001-04-20 13:20:00,0.7666666666666667,119.25,4.0
16,2001-04-18 02:10:00,7,25,C2.2,0.05,6.84e-07,2.25e-06,0.0833333333333333,6.104e-06,110253.50781854684,407.41540094069495,12.180932505581032,10.266904830932615,3.0345234870910645,-7.038864612579346,-2.660646915435791,0.72531193,9.2699946e-07,829.7557983398438,68.98733520507812,0.1991067081689834,0.0001185060027637,0.0495828576385974,1.178832917503314e-05,0.2490265551300065,2001-04-18T02:14:00.000,2001-04-18T02:16:00.000,C2.2,"(0, 0)",0.0,2001-04-18 02:14:00,2001-04-18 02:16:00,C,ProtonFlare,0.0,0.0,1.0,,575.0,86243.17,321.0,49721.02,82.4000015258789,11628.97,29.0,3727.188,12.899999618530272,1624.0309,2001-04-18 02:15:00,2001-04-20 13:20:00,0.0666666666666666,59.083333333333336,1.0
17,2001-05-20 06:00:00,0,16,M6.4,0.05,1.33e-06,6.46e-05,0.1,0.00017921999,57669.10033724767,419.1923007145981,4.791558289089086,5.8011322021484375,2.470299005508423,3.790208339691162,-0.871532678604126,0.34682363,,3.6696834564208975,,0.0006465733167715,2.92360005005321e-06,0.0008318300242535,,1.286520805416255,2001-05-20T06:03:00.000,2001-05-20T06:06:00.000,M6.4,"(0, 0)",0.0,2001-05-20 06:03:00,2001-05-20 06:06:00,M,ProtonFlare,0.0,0.0,1.0,,10.800000190734863,431.21,9.15999984741211,324.35,2.8499999046325684,123.09998,1.1699999570846558,48.355,0.5680000185966492,22.062996,2001-05-20 10:10:00,2001-05-20 14:40:00,4.166666666666667,4.5,0.0
18,2001-06-15 16:15:00,53,31,C2.2,0.2,1.72e-06,9.91e-06,0.4166666666666667,0.00017530001,,322.542875289917,,5.223869800567627,-0.1225225403904914,4.566336631774902,0.3566269278526306,0.1900156,3.3656863e-06,239.8042907714844,15.56606101989746,0.0280657149851322,9.668251732364296e-05,0.0024807574227452,4.82242012367351e-06,0.0883910288428214,2001-06-15T22:26:00.000,2001-06-15T22:39:00.000,C9.9,"(0, 0)",0.0,2001-06-15 22:26:00,2001-06-15 22:39:00,C,,0.0,0.0,1.0,,85.5,12588.201,26.799999237060547,4067.92,2.3399999141693115,206.42831,0.4460000097751617,35.5097,0.1560000032186508,14.2293,2001-06-15 22:20:00,2001-06-17 02:45:00,0.1,28.416666666666668,359.0
19,2001-09-24 09:30:00,70,23,X2.6,1.1,3.82e-06,0.00026,1.6166666666666667,0.01048792,69746.96448206018,444.5136814234447,10.86791163865774,8.502923011779785,0.2091976106166839,-0.9163833856582642,4.808742523193359,0.52619517,0.0004933412,1.5719000101089478,3.104300022125244,0.0004840700130444,,0.000825929979328,,1.7062200860855774,2001-09-24T10:38:00.000,2001-09-24T11:09:00.000,X2.6,"(0, 0)",0.0,2001-09-24 10:38:00,2001-09-24 11:09:00,X,ProtonFlare,0.0,0.0,1.0,,28100.0,3670330.8,12900.0,1968130.8,1380.0,324854.34,132.0,40916.582,31.200000762939453,8148.68,2001-09-24 12:10:00,2001-10-01 12:10:00,2.6333333333333333,168.0,2.0
