,Timestamps,Sunspots,AR,Flare Class,Rise Time,Starting Flux,Peak Flux,Duration,Fluence,SW Temp,SW Velocity,SW Density,IMF B,IMF Bx,IMF By,IMF Bz,Fe/O Lo,Fe/O Hi,H Lo,H Hi,O Lo,O Hi,Fe Lo,Fe Hi,Fe/0 1MeV,peak_time,end_time,xrsclass,goes_location,noaa_active_region,Flrmaxtime,Flrendtime,goes_major_class,SEP_Server_Association,FlrLon,FlrLat,event_type,other_flare,sep_peak_1,sep_fluence_1,sep_peak_2,sep_fluence_2,sep_peak_3,sep_fluence_3,sep_peak_4,sep_fluence_4,sep_peak_5,sep_fluence_5,sep_start,sep_end,sep_rise,sep_duration,match_diff_minutes
10,1999-05-08 14:20:00,43,25,M4.6,0.3,2.66e-06,4.69e-05,0.65,0.0012055798,86553.50537568574,418.3795905922944,3.1697423166615835,4.584248162270299,-3.1597323971460494,0.7509570054294302,0.3603269088765837,0.18305027,,192.0885467529297,6.358200073242188,0.0454771444201469,4.405260369821917e-06,0.0028452284168452,,0.0625639198134157,1999-05-08T14:40:00.000,1999-05-08T15:01:00.000,M4.6,"(75, 23)",8526.0,1999-05-08 14:40:00,1999-05-08 15:01:00,M,,23.0,75.0,0.0,,2.119999885559082,90.995,0.625,21.3973,0.231000006198883,7.3275995,0.1620000004768371,4.9573,0.0912000015377998,2.9354,1999-05-08 14:22:00,1999-05-08 20:22:00,-9999.0,-9999.0,2.0
11,1999-06-17 16:45:00,0,28,M3.6,0.7166666666666667,8.34e-07,3.66e-05,0.8666666666666667,0.000492687,63235.34241586539,382.561083530863,7.024658779731164,7.236754417419434,-2.508491516113281,5.51931095123291,1.449307203292847,0.6372534,,11.690543174743652,1.5943500995635986,0.0017419585492461,5.7069000831688754e-06,0.0011051866458728,,0.6344505994997096,1999-06-17T17:30:00.000,1999-06-17T17:39:00.000,M3.6,"(0, 0)",0.0,1999-06-17 17:30:00,1999-06-17 17:39:00,M,,0.0,0.0,0.0,,0.7409999966621399,21.073,0.5019999742507935,12.646799,0.2080000042915344,6.7088,0.1449999958276748,4.8174,0.1120000034570694,3.1609,1999-06-17 16:47:00,1999-06-17 22:47:00,-9999.0,-9999.0,2.0
12,1999-07-16 15:40:00,17,11,M3.1,0.1333333333333333,9.27e-07,3.14e-05,0.2,0.00016189,67539.81379807692,351.36701509915866,5.317974696924657,5.554626941680908,-3.5996224880218506,2.3990962505340576,1.8215335607528689,1.4215212,,0.636335015296936,1.600000023841858,0.0007295599789358,5.177519597054925e-06,0.0008318300242535,,1.140180448860257,1999-07-16T15:50:00.000,1999-07-16T15:54:00.000,M3.1,"(0, 0)",0.0,1999-07-16 15:50:00,1999-07-16 15:54:00,M,,0.0,0.0,0.0,1.0,0.7820000052452087,23.112,0.4510000050067901,15.401699,0.3109999895095825,9.3555,0.248999997973442,6.3612003,0.1340000033378601,4.1727996,1999-07-16 15:42:00,1999-07-16 21:42:00,-9999.0,-9999.0,2.0
13,1999-07-24 07:45:00,26,11,M3.3,0.2166666666666666,8.83e-06,3.39e-05,0.6,0.00083631,113500.94594332298,464.3580999166424,2.8954919521284546,6.392841339111328,-3.278450489044189,3.4757087230682373,2.7047836780548096,,,,1.5887000560760498,,2.7999999474559445e-06,,,,1999-07-24T08:02:00.000,1999-07-24T08:25:00.000,M3.3,"(-78, -28)",8636.0,1999-07-24 08:02:00,1999-07-24 08:25:00,M,,-28.0,-78.0,0.0,,0.753000020980835,17.629,0.4259999990463257,11.9305,0.2619999945163727,6.5076,0.1400000005960464,4.4546,0.0697999969124794,2.4798002,1999-07-24 07:49:00,1999-07-24 13:49:00,-9999.0,-9999.0,4.0
14,1999-07-29 19:30:00,49,22,M5.1,0.0833333333333333,4.01e-06,5.11e-05,0.15,0.00026402,69100.80082962461,345.97334322619366,3.028599379601493,5.312751770019531,-4.921951770782471,-0.1231191828846931,-0.316057026386261,0.31596905,,5.269900321960449,,0.0011341000208631,2.9057000574539416e-06,,,,1999-07-29T19:36:00.000,1999-07-29T19:40:00.000,M5.1,"(-51, 25)",8651.0,1999-07-29 19:36:00,1999-07-29 19:40:00,M,,25.0,-51.0,0.0,,0.7929999828338623,18.188,0.4399999976158142,12.0342,0.2039999961853027,6.3895,0.1420000046491623,4.2057,0.0705000013113021,2.5631,1999-07-29 19:31:00,1999-07-30 01:31:00,-9999.0,-9999.0,1.0
15,1999-08-04 05:45:00,36,27,M6.0,0.2,1.72e-06,6.03e-05,0.4833333333333333,0.00113322,30815.338981019937,365.9095994925793,11.267069025273704,10.86472522382383,4.594574818555955,-6.87130221825093,-3.877166668019361,0.13310952,5.410286e-05,14.461385726928713,1.5887000560760498,0.0018279299838468,5.763200078945374e-06,0.0008411150192841,,0.4601461908918844,1999-08-04T05:57:00.000,1999-08-04T06:14:00.000,M6.0,"(64, -16)",8647.0,1999-08-04 05:57:00,1999-08-04 06:14:00,M,,-16.0,64.0,0.0,,0.7940000295639038,22.333,0.5249999761581421,14.5731,0.2140000015497207,7.2437,0.1309999972581863,4.8708,0.1080000028014183,2.8626003,1999-08-04 05:45:00,1999-08-04 11:45:00,-9999.0,-9999.0,0.0
16,1999-08-21 16:30:00,14,6,M3.7,0.0666666666666666,1.06e-06,3.73e-05,0.1166666666666666,0.00011954,57993.68993841066,492.4315641438303,1.0702588973235498,5.485896587371826,-4.937391757965088,1.6696652173995972,-0.109808973968029,0.35241523,1.9015957e-05,16.695486068725586,,0.0047769458033144,,0.0013805100461468,,0.2889942869330762,1999-08-21T16:34:00.000,1999-08-21T16:37:00.000,M3.7,"(-56, -25)",8674.0,1999-08-21 16:34:00,1999-08-21 16:37:00,M,,-25.0,-56.0,0.0,1.0,0.6169999837875366,16.404001,0.3709999918937683,10.456699,0.2259999960660934,5.2682004,0.1519999951124191,3.5855002,0.0728999972343444,1.9915,1999-08-21 16:30:00,1999-08-21 22:30:00,-9999.0,-9999.0,0.0
17,1999-08-25 01:30:00,32,11,M3.6,0.0666666666666666,1.19e-06,3.66e-05,0.1333333333333333,0.00014022,146510.96740301725,518.8846392497,4.8098215609788895,7.583369255065918,5.92406177520752,-2.605613470077514,0.8140214085578918,0.3362247,,1.905839920043945,1.600000023841858,0.0009698600042611,2.9186001029302133e-06,0.0016519000055268,,1.70323551674378,1999-08-25T01:36:00.000,1999-08-25T01:40:00.000,M3.6,"(0, 0)",0.0,1999-08-25 01:36:00,1999-08-25 01:40:00,M,,0.0,0.0,0.0,1.0,0.5550000071525574,14.447,0.5320000052452087,10.1652,0.2460000067949295,5.5072002,0.1330000013113021,3.6532001,0.0728999972343444,1.9363,1999-08-25 01:32:00,1999-08-25 07:32:00,-9999.0,-9999.0,2.0
18,1999-08-27 12:50:00,43,21,M3.0,0.2833333333333333,2.82e-06,5.56e-05,0.5333333333333333,0.00113257,201401.60971679687,612.7776789650275,1.9017646849155423,6.28712797164917,4.12037467956543,-3.723434686660767,0.3367401659488678,0.87501264,,,,0.0004875200102105,2.90749994746875e-06,,,,1999-08-27T13:07:00.000,1999-08-27T13:22:00.000,M5.5,"(9, -23)",8674.0,1999-08-27 13:07:00,1999-08-27 13:22:00,M,,-23.0,9.0,0.0,,0.5479999780654907,15.706,0.3939999938011169,11.1025,0.2660000026226043,5.9431,0.1389999985694885,3.8981001,0.0753000006079673,2.1891003,1999-08-27 12:50:00,1999-08-27 18:50:00,-9999.0,-9999.0,0.0
19,1999-08-28 17:50:00,59,17,X1.1,0.2166666666666666,3.59e-06,0.000113,0.4333333333333333,0.00178632,218245.2956220519,626.298859415175,0.9330084355548024,4.750051498413086,2.9724249839782715,-1.8452937602996824,0.014845254831016,0.7534721,,0.6385999917984009,1.5887000560760498,0.000727824983187,2.8762501642631837e-06,,,,1999-08-28T18:05:00.000,1999-08-28T18:18:00.000,X1.1,"(14, -26)",8674.0,1999-08-28 18:05:00,1999-08-28 18:18:00,X,,-26.0,14.0,0.0,,0.8379999995231628,16.467999,0.492000013589859,10.9848,0.2759999930858612,6.3014,0.1439999938011169,4.469,0.0723000019788742,2.3891,1999-08-28 17:52:00,1999-08-28 23:52:00,-9999.0,-9999.0,2.0
